doc_id,label,start,end
111111111,appeal_to_authority,265,323
111111111,appeal_to_authority,1795,1935
111111111,doubt,149,157
111111111,repetition,1069,1091
111111111,appeal_to_fear_prejudice,1334,1462
111111111,appeal_to_fear_prejudice,1577,1616
111111111,appeal_to_fear_prejudice,1856,1910
111111111,appeal_to_fear_prejudice,2023,2086
111111112,slogans,191,219
111111112,black_and_white_fallacy,476,556
111111112,slogans,785,798
111111112,loaded_language,958,1013
111111112,flag_waving,1456,1535
111111112,name_calling_labeling,1810,1824
111111112,loaded_language,2095,2123
111111112,loaded_language,911,942
111111112,name_calling_labeling,1738,1787
111111113,loaded_language,1396,1430
111111113,name_calling_labeling,3082,3099
111111113,whataboutism_straw_men_red_herring,3828,3985
111111113,causal_oversimplification,361,467
111111113,causal_oversimplification,3580,3741
111111113,causal_oversimplification,4865,5006
111111113,loaded_language,5743,5773
111111113,slogans,5775,5791
111111113,loaded_language,259,279
111111113,loaded_language,3658,3663
111111113,name_calling_labeling,5556,5579
111111114,appeal_to_fear_prejudice,1705,1824
111111115,loaded_language,658,700
111111115,loaded_language,1870,1893
111111115,appeal_to_authority,1655,1745
111111115,loaded_language,2389,2418
111111117,causal_oversimplification,671,753
111111122,loaded_language,24,49
111111122,exaggeration_minimisation,170,205
111111122,loaded_language,343,356
111111122,doubt,449,477
111111122,doubt,888,956
111111122,name_calling_labeling,902,919
111111122,doubt,1475,1522
111111122,loaded_language,1636,1655
111111122,loaded_language,3210,3224
111111122,doubt,3413,3440
111111122,exaggeration_minimisation,3489,3519
111111122,doubt,3991,4046
111111122,loaded_language,4449,4468
111111122,name_calling_labeling,5027,5059
111111122,loaded_language,5131,5140
111111122,appeal_to_authority,5529,5653
111111122,loaded_language,5778,5797
111111122,causal_oversimplification,5840,5921
111111122,loaded_language,5950,5981
111111122,loaded_language,6441,6451
111111122,name_calling_labeling,6839,6868
111111123,loaded_language,4321,4333
111111124,loaded_language,2650,2661
111111124,loaded_language,4098,4110
111111124,name_calling_labeling,4661,4760
111111124,exaggeration_minimisation,3368,3380
111111124,loaded_language,0,17
111111124,loaded_language,107,122
111111124,loaded_language,282,338
111111124,name_calling_labeling,510,540
111111124,name_calling_labeling,2478,2501
111111124,loaded_language,3557,3590
111111124,causal_oversimplification,4170,4377
111111124,loaded_language,4540,4575
111111124,doubt,4622,4760
111111124,name_calling_labeling,4920,4935
111111124,name_calling_labeling,4144,4164
111111131,loaded_language,84,97
111111131,loaded_language,102,109
111111131,loaded_language,180,190
