label,gold,best_thr,strategy,best_precision,best_recall,best_f1,pred_at_best
doubt,493,0.1,elbow,5.438671840094701,80.26203037324488,10.187054088148347,5862
loaded_language,2123,0.1,elbow,4.96587811817705,13.681330364082104,7.28686217534213,1619
appeal_to_fear_prejudice,294,0.1,elbow,3.1935313833847103,28.825823145003756,5.750032892377611,1722
appeal_to_authority,144,0.9500000000000001,peak,2.4969086868220596,77.24923754760003,4.8374573917585915,3427
causal_oversimplification,209,0.1,elbow,2.532299727551903,45.34564591852604,4.796729068284703,2773
name_calling_labeling,1058,0.1,elbow,2.508716482641409,13.247563525807893,4.218556785511741,1265
exaggeration_minimisation,466,0.1,elbow,2.2446145556273653,9.825040892431645,3.654359462321302,972
flag_waving,229,0.1,elbow,1.7653678133092718,9.432968233140215,2.974130876887627,731
whataboutism_straw_men_red_herring,108,0.1,elbow,1.256067443865347,89.88425461371301,2.4775134295677153,5302
repetition,621,0.1,elbow,1.2638898223387163,21.44595005929916,2.3870989977563606,2666
black_and_white_fallacy,107,0.1,elbow,1.16702501371131,16.287960558719266,2.177997491374808,1266
bandwagon_reductio_ad_hitlerum,72,0.35000000000000003,noisy_first_peak,0.8176543744593565,4.199641362492944,1.368807146811188,245
slogans,129,0.35000000000000003,peak,0.5197119946424754,2.8771196039418787,0.8803931103400975,240
thought_terminating_cliches,76,0.25,noisy_first_peak,0.33859669461556746,1.6326332209745622,0.5608723850724032,311
