label,thr,precision,recall,f1,gold,pred
appeal_to_authority,0.05,2.3934119536167677,147.280150045896,4.71027838104723,144,7391
appeal_to_authority,0.1,2.4080585095722897,137.96524089020144,4.733498090754087,144,6853
appeal_to_authority,0.15000000000000002,2.4064485273688567,130.90478092291212,4.726017734237027,144,6445
appeal_to_authority,0.2,2.412012381726929,126.80629572664854,4.733978642052476,144,6187
appeal_to_authority,0.25,2.4100569792713418,123.00256956294655,4.7274857311707095,144,5998
appeal_to_authority,0.3,2.414219526841463,120.11636212793707,4.7333043396373515,144,5845
appeal_to_authority,0.35000000000000003,2.408441646098784,116.8446112246075,4.719601234874441,144,5666
appeal_to_authority,0.4,2.415472762978573,114.3086477035916,4.730974609142873,144,5532
appeal_to_authority,0.45,2.4170531232488957,111.79124897744626,4.731799396765338,144,5330
appeal_to_authority,0.5,2.4241203809897556,109.82213683935268,4.743535985766003,144,5219
appeal_to_authority,0.55,2.4329981387349386,107.69053007450262,4.758490097108029,144,5088
appeal_to_authority,0.6000000000000001,2.4401181637823357,105.18660970985044,4.769591383304888,144,4958
appeal_to_authority,0.6500000000000001,2.4489994442114265,103.15143541857864,4.784408479717799,144,4837
appeal_to_authority,0.7000000000000001,2.4539120540312838,100.18623823920387,4.790488263332868,144,4680
appeal_to_authority,0.7500000000000001,2.4491581750144706,97.34162608879748,4.7780973175703405,144,4538
appeal_to_authority,0.8,2.4546114340423606,93.79499805399232,4.784025117690097,144,4302
appeal_to_authority,0.8500000000000001,2.4616361273730574,89.72709519795019,4.791810364849737,144,4085
appeal_to_authority,0.9000000000000001,2.470953932217797,84.46814089376966,4.801450608758772,144,3820
appeal_to_authority,0.9500000000000001,2.4969086868220596,77.24923754760003,4.8374573917585915,144,3427
appeal_to_fear_prejudice,0.05,3.191426987141491,34.75518879677924,5.846036342257371,294,2068
appeal_to_fear_prejudice,0.1,3.1935313833847103,28.825823145003756,5.750032892377611,294,1722
appeal_to_fear_prejudice,0.15000000000000002,3.2186091440207147,25.385023297049884,5.712873585086911,294,1515
appeal_to_fear_prejudice,0.2,3.2207273262364837,22.826052937731397,5.644958163859659,294,1379
